0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
419.7097222222222,417.3041666666667,421.8902777777778,414.96527777777777,419.9611111111111,415.9916666666667,453.1875,420.0111111111111,441.6486111111111,415.33194444444445,438.46527777777777,413.39166666666665,437.9763888888889,414.30277777777775,447.2027777777778,411.5027777777778,450.8722222222222,414.56388888888887,451.7972222222222,409.2277777777778
417.715576171875,419.2767333984375,421.0751953125,420.4228515625,422.96356201171875,423.2096862792969,430.48193359375,426.04937744140625,432.671630859375,424.1298828125,433.9165344238281,421.5522766113281,432.9742126464844,421.0299987792969,434.1376037597656,422.71807861328125,435.3408203125,424.7586364746094,436.2178039550781,425.14849853515625
453.1875,420.0111111111111,441.6486111111111,415.33194444444445,438.46527777777777,413.39166666666665,437.9763888888889,414.30277777777775,447.2027777777778,411.5027777777778,450.8722222222222,414.56388888888887,451.7972222222222,409.2277777777778,430.45000000000005,421.5083333333333,431.52465753424656,415.0486111111111,443.46666666666664,413.1736111111111
450.0431823730469,419.46533203125,438.6093444824219,416.8908386230469,437.8866271972656,418.06689453125,437.6871643066406,419.2932434082031,441.2621765136719,418.61114501953125,443.2571105957031,418.21044921875,442.9494323730469,413.5417175292969,437.6817932128906,408.2147216796875,433.72869873046875,406.5888671875,431.03826904296875,410.32379150390625
437.9763888888889,414.30277777777775,447.2027777777778,411.5027777777778,450.8722222222222,414.56388888888887,451.7972222222222,409.2277777777778,430.45000000000005,421.5083333333333,431.52465753424656,415.0486111111111,443.46666666666664,413.1736111111111,423.4194444444445,414.68055555555554,433.93611111111113,411.6611111111111,435.17499999999995,413.3180555555556
436.2930908203125,418.7205810546875,442.3239440917969,418.57720947265625,444.6302795410156,418.9483642578125,444.6905822753906,414.7007141113281,438.6696472167969,415.360595703125,432.6164245605469,416.8425598144531,433.7751770019531,417.156982421875,433.9530334472656,423.73809814453125,442.091064453125,420.6647033691406,438.9557189941406,421.59515380859375
451.7972222222222,409.2277777777778,430.45000000000005,421.5083333333333,431.52465753424656,415.0486111111111,443.46666666666664,413.1736111111111,423.4194444444445,414.68055555555554,433.93611111111113,411.6611111111111,435.17499999999995,413.3180555555556,439.87361111111113,413.91805555555555,445.41805555555555,409.84027777777777,445.53333333333336,413.3305555555555
444.84185791015625,409.961181640625,433.4178771972656,414.6201477050781,427.1067810058594,415.3143005371094,430.9574279785156,414.50225830078125,428.1965026855469,418.4805603027344,433.7509765625,417.5611267089844,433.6104431152344,417.8534851074219,432.9287109375,417.232666015625,435.06884765625,417.2884826660156,437.39129638671875,411.4322509765625
443.46666666666664,413.1736111111111,423.4194444444445,414.68055555555554,433.93611111111113,411.6611111111111,435.17499999999995,413.3180555555556,439.87361111111113,413.91805555555555,445.41805555555555,409.84027777777777,445.53333333333336,413.3305555555555,436.5263888888889,414.7972222222222,440.7083333333333,413.6027777777778,438.8347222222222,411.69722222222225
442.65533447265625,408.8699951171875,431.1582946777344,413.9303894042969,431.55718994140625,414.7743225097656,433.8481750488281,417.34954833984375,434.8387145996094,417.8569641113281,438.14569091796875,416.13995361328125,440.1665344238281,415.5536804199219,439.3628234863281,414.91021728515625,439.467041015625,412.8250427246094,436.791259765625,410.8577880859375
435.17499999999995,413.3180555555556,439.87361111111113,413.91805555555555,445.41805555555555,409.84027777777777,445.53333333333336,413.3305555555555,436.5263888888889,414.7972222222222,440.7083333333333,413.6027777777778,438.8347222222222,411.69722222222225,431.1722222222222,412.8888888888889,420.975,412.4166666666667,420.5138888888889,412.0597222222222
